Found 570 ships
<48.37971°N 4.485615°W @ 2013-10-01T09:43:00
<48.37972°N 4.48557°W @ 2013-10-01T09:52:00
<48.37968°N 4.485597°W @ 2013-10-01T10:10:00
<48.37967°N 4.485573°W @ 2013-10-01T10:28:00
<48.37969°N 4.485602°W @ 2013-10-01T10:46:00
<48.3797°N 4.485589°W @ 2013-10-01T10:55:00
<48.37967°N 4.4856°W @ 2013-10-01T11:04:00
<48.37971°N 4.485607°W @ 2013-10-01T11:13:00
<48.37972°N 4.485582°W @ 2013-10-01T11:22:00
<48.3797°N 4.485582°W @ 2013-10-01T11:34:00
<48.37969°N 4.48559°W @ 2013-10-01T11:43:00
<48.37969°N 4.4856°W @ 2013-10-01T11:52:00
<48.37968°N 4.485595°W @ 2013-10-01T12:01:00
<48.37971°N 4.4856°W @ 2013-10-01T12:10:00
<48.37973°N 4.48559°W @ 2013-10-01T12:28:00
<48.37971°N 4.485583°W @ 2013-10-01T12:37:00
<48.37967°N 4.485589°W @ 2013-10-01T12:46:00
<48.37968°N 4.4856°W @ 2013-10-01T12:55:00
<48.37971°N 4.485555°W @ 2013-10-01T13:04:00
<48.37966°N 4.485573°W @ 2013-10-01T13:25:00
<48.37969°N 4.485593°W @ 2013-10-01T13:34:00
<48.37966°N 4.485582°W @ 2013-10-01T14:31:00
<48.37967°N 4.485607°W @ 2013-10-01T14:58:00
<48.37968°N 4.485583°W @ 2013-10-01T15:22:00
<48.37967°N 4.48559°W @ 2013-10-01T15:31:00
<48.37969°N 4.485583°W @ 2013-10-01T17:13:00
<48.37969°N 4.48559°W @ 2013-10-01T17:22:00
<48.37969°N 4.485559°W @ 2013-10-01T18:34:00
<48.37969°N 4.485608°W @ 2013-10-01T18:43:00
<48.37969°N 4.485589°W @ 2013-10-01T18:52:00
<48.3797°N 4.485579°W @ 2013-10-01T19:01:00
<48.37969°N 4.485535°W @ 2013-10-01T19:28:00
<48.37969°N 4.485602°W @ 2013-10-01T19:37:00
